Trend, Season, Episode, Title, Year, Total Votes, Average Rating
3,1,1,That '70s Pilot,1998,1512,8.1
1,1,2,Eric's Birthday,1998,1222,8.1
2,1,3,Streaking,1998,1145,7.8
1,1,4,Battle of the Sexists,1998,1085,7.7
3,1,5,Eric's Burger Job,1998,1063,7.7
1,1,6,The Keg,1998,1120,8.2
1,1,7,That Disco Episode,1998,1084,8.1
-,1,8,Drive in,1998,1035,7.9
-,1,9,Thanksgiving,1998,1023,7.8
1,1,10,Sunday Bloody Sunday,1998,976,7.5
-,1,11,Eric's Buddy,1998,1153,8.2
-,1,12,The Best Christmas Ever,1998,983,8.0
-,1,13,Ski Trip,1999,959,7.8
-,1,14,Stolen Car,1999,936,7.8
-,1,15,That Wrestling Show,1999,1007,7.9
-,1,16,First Date,1999,939,7.8
1,1,17,The Pill,1999,960,8.2
-,1,18,The Career Day,1999,961,8.0
-,1,19,Prom Night,1999,958,7.9
-,1,20,A New Hope,1999,1076,8.4
-,1,21,Water Tower,1999,967,8.3
1,1,22,Punk Chick,1999,931,7.4
-,1,23,Grandma's Dead,1999,942,8.1
-,1,24,Hyde Moves In,1999,983,8.2
-,1,25,The Good Son,1999,941,8.1
1,2,1,Garage Sale,1999,1010,8.5
-,2,2,Red's Last Day,1999,851,7.8
1,2,3,The Velvet Rope,1999,852,7.6
1,2,4,Laurie and the Professor,1999,838,7.6
-,2,5,Halloween,1999,908,8.2
-,2,6,Vanstock,1999,831,7.9
-,2,7,I Love Cake,1999,820,7.8
-,2,8,Sleepover,1999,829,8.1
1,2,9,Eric Gets Suspended,1999,821,7.7
-,2,10,Red's Birthday,1999,794,7.7
-,2,11,Laurie Moves Out,1999,784,7.7
1,2,12,Eric's Stash,2000,791,7.6
-,2,13,Hunting,2000,806,7.8
-,2,14,Red's New Job,2000,772,7.8
-,2,15,Burning Down the House,2000,834,7.9
-,2,16,The First Time,2000,814,7.9
-,2,17,After Glow,2000,779,7.9
-,2,18,Kitty and Eric's Night Out,2000,785,7.9
-,2,19,Parents Find Out,2000,806,8.2
-,2,20,Kiss of Death,2000,760,7.8
2,2,21,Kelso's Serenade,2000,750,7.6
1,2,22,Jackie Moves On,2000,745,7.4
1,2,23,Holy Crap!,2000,774,7.6
-,2,24,Red Fired Up,2000,742,7.8
1,2,25,Cat Fight Club,2000,784,8.2
-,2,26,Moon Over Point Place,2000,778,8.0
-,3,1,Reefer Madness,2000,840,8.3
-,3,2,Red Sees Red,2000,804,8.2
1,3,3,Hyde's Father,2000,732,7.6
-,3,4,Too Old to Trick or Treat Too Young to Die,2000,951,8.1
-,3,5,Roller Disco,2000,721,7.7
1,3,6,Eric's Panties,2000,936,8.5
1,3,7,Baby Fever,2000,703,7.4
-,3,8,Jackie Bags Hyde,2000,747,8.0
1,3,9,Hyde's Christmas Rager,2000,711,7.7
-,3,10,Ice Shack,2001,705,7.8
-,3,11,Who Wants It More?,2001,691,7.7
1,3,12,Fez Gets the Girl,2001,704,7.7
1,3,13,Dine & Dash,2001,915,8.7
1,3,14,Radio Daze,2001,690,7.6
1,3,15,Donna's Panties,2001,698,7.7
-,3,16,Romantic Weekend,2001,688,7.8
-,3,17,Kitty's Birthday (That's Today?!),2001,734,8.1
-,3,18,The Trials of M. Kelso,2001,688,7.8
1,3,19,Eric's Naughty No-no,2001,681,7.5
1,3,20,Holy Craps,2001,689,7.5
1,3,21,Fez Dates Donna,2001,671,7.6
1,3,22,Eric's Drunken Tattoo,2001,694,7.7
-,3,23,Canadian Road Trip,2001,818,8.3
1,3,24,Backstage Pass,2001,691,7.4
-,3,25,The Promise Ring,2001,698,7.8
-,4,1,It's a Wonderful Life,2001,826,8.0
1,4,2,Eric's Depression,2001,689,7.6
1,4,3,Pinciotti vs. Forman,2001,653,7.6
1,4,4,Hyde Gets the Girl,2001,715,7.7
1,4,5,Bye Bye Basement,2001,673,7.7
1,4,6,The Relapse,2001,646,7.6
1,4,7,Uncomfortable Ball Stuff,2001,646,7.4
2,4,8,Donna's Story,2001,650,7.4
-,4,9,The Forgotten Son,2001,631,7.7
-,4,10,Red and Stacey,2001,693,7.8
1,4,11,The Third Wheel,2001,641,7.4
1,4,12,An Eric Forman Christmas,2001,673,7.5
1,4,13,Jackie Says Cheese,2002,640,7.6
-,4,14,Eric's Hot Cousin,2002,773,8.2
-,4,15,Tornado Prom,2002,664,7.8
1,4,16,Donna Dates a Kelso,2002,635,7.4
1,4,17,Kelso's Career,2002,624,7.6
1,4,18,Leo Loves Kitty,2002,615,7.3
1,4,19,Jackie's Cheese Squeeze,2002,626,7.7
-,4,20,Class Picture,2002,754,8.3
-,4,21,Prank Day,2002,649,8.1
-,4,22,Eric's Corvette Caper,2002,626,7.8
-,4,23,Hyde's Birthday,2002,643,8.1
1,4,24,That '70s Musical,2002,1063,7.3
2,4,25,Eric's False Alarm,2002,594,7.4
2,4,26,Everybody Loves Casey,2002,603,7.6
1,4,27,Love Wisconsin Style,2002,643,8.1
1,5,1,Going to California,2002,665,7.8
2,5,2,I Can't Quit You Babe,2002,621,7.6
1,5,3,What Is and What Should Never Be,2002,603,7.7
1,5,4,Heartbreaker,2002,607,7.7
1,5,5,Ramble On,2002,597,7.5
1,5,6,Over the Hills and Far Away,2002,611,7.6
1,5,7,Hot Dog,2002,586,7.6
-,5,8,Thank You,2002,592,7.8
