Trend, Season, Episode, Title, Year, Total Votes, Average Rating
13,1,1,Pilot,2005,5195,8.5
11,1,2,Purple Giraffe,2005,3919,8.2
12,1,3,The Sweet Taste of Liberty,2005,3718,8.2
10,1,4,Return of the Shirt,2005,3489,8.0
9,1,5,Okay Awesome,2005,3612,8.3
11,1,6,The Slutty Pumpkin,2005,3488,8.1
11,1,7,Matchmaker,2005,3287,7.7
10,1,8,The Duel,2005,3244,8.2
11,1,9,Belly Full of Turkey,2005,3247,8.1
17,1,10,The Pineapple Incident,2005,4938,9.2
12,1,11,The Limo,2005,3379,8.3
10,1,12,The Wedding,2006,3170,8.1
9,1,13,Drumroll Please,2006,3584,8.7
10,1,14,Zip Zip Zip,2006,3078,8.2
10,1,15,Game Night,2006,4009,9.1
9,1,16,Cupcake,2006,2967,7.9
9,1,17,Life Among the Gorillas,2006,2945,7.7
10,1,18,Nothing Good Happens After 2 AM,2006,3245,8.5
11,1,19,Mary the Paralegal,2006,3523,8.8
11,1,20,Best Prom Ever,2006,2947,7.9
10,1,21,Milk,2006,2968,8.1
12,1,22,Come On,2006,3642,8.9
10,2,1,Where Were We?,2006,2941,8.2
8,2,2,The Scorpion and the Toad,2006,2874,8.2
7,2,3,Brunch,2006,2994,8.5
8,2,4,Ted Mosby Architect,2006,3381,8.8
9,2,5,World's Greatest Couple,2006,3209,8.8
7,2,6,Aldrin Justice,2006,2879,8.1
10,2,7,Swarley,2006,4020,9.0
9,2,8,Atlantic City,2006,2814,8.0
17,2,9,Slap Bet,2006,5857,9.5
7,2,10,Single Stamina,2006,2865,8.2
8,2,11,How Lily Stole Christmas,2006,2843,8.1
10,2,12,First Time in New York,2007,2931,8.2
10,2,13,Columns,2007,2709,8.0
7,2,14,Monday Night Football,2007,2901,8.4
7,2,15,Lucky Penny,2007,2837,8.4
9,2,16,Stuff,2007,2976,8.5
9,2,17,Arrivederci Fiero,2007,2926,8.3
6,2,18,Moving Day,2007,2703,8.1
6,2,19,Bachelor Party,2007,2848,8.4
9,2,20,Showdown,2007,3127,8.9
7,2,21,Something Borrowed,2007,2948,8.8
8,2,22,Something Blue,2007,3005,8.8
12,3,1,Wait for It,2007,2990,8.3
8,3,2,We're Not from Here,2007,2659,7.7
8,3,3,Third Wheel,2007,2765,8.1
9,3,4,Little Boys,2007,2658,7.8
11,3,5,How I Met Everyone Else,2007,3673,9.0
8,3,6,I'm Not That Guy,2007,2627,8.1
7,3,7,Dowisetrepla,2007,2661,8.0
8,3,8,Spoiler Alert,2007,3665,9.1
7,3,9,Slapsgiving,2007,3518,9.0
6,3,10,The Yips,2007,2701,8.0
6,3,11,The Platinum Rule,2007,2812,8.5
8,3,12,No Tomorrow,2008,2725,8.2
9,3,13,Ten Sessions,2008,3245,8.8
8,3,14,The Bracket,2008,2853,8.7
10,3,15,The Chain of Screaming,2008,2607,8.0
11,3,16,Sandcastles in the Sand,2008,2856,8.2
10,3,17,The Goat,2008,2626,8.2
9,3,18,Rebound Bro,2008,2592,8.1
8,3,19,Everything Must Go,2008,2597,7.8
8,3,20,Miracles,2008,2826,8.7
10,4,1,Do I Know You?,2008,3016,8.6
9,4,2,The Best Burger in New York,2008,3151,8.5
9,4,3,I Heart NJ,2008,2601,7.7
9,4,4,Intervention,2008,3092,8.8
10,4,5,Shelter Island,2008,2699,8.3
11,4,6,Happily Ever After,2008,2578,8.0
12,4,7,Not a Father's Day,2008,2526,7.8
12,4,8,Woooo!,2008,2703,8.1
13,4,9,The Naked Man,2008,4296,9.2
11,4,10,The Fight,2008,2672,8.3
10,4,11,Little Minnesota,2008,2638,8.1
10,4,12,Benefits,2009,2838,8.6
10,4,13,Three Days of Snow,2009,2802,8.5
8,4,14,The Possimpible,2009,2696,8.4
10,4,15,The Stinsons,2009,2746,8.3
9,4,16,Sorry Bro,2009,2610,7.8
8,4,17,The Front Porch,2009,2706,8.4
9,4,18,Old King Clancy,2009,2489,7.7
7,4,19,Murtaugh,2009,2689,8.5
8,4,20,Mosbius Designs,2009,2511,7.7
11,4,21,The Three Days Rule,2009,2816,8.7
12,4,22,Right Place Right Time,2009,2611,8.2
10,4,23,As Fast as She Can,2009,2534,7.7
11,4,24,The Leap,2009,2981,8.8
9,5,1,Definitions,2009,2877,8.6
9,5,2,Double Date,2009,2592,8.1
11,5,3,Robin 101,2009,2680,8.4
8,5,4,The Sexless Innkeeper,2009,2720,8.0
9,5,5,Duel Citizenship,2009,2530,7.8
6,5,6,Bagpipes,2009,2453,7.8
9,5,7,The Rough Patch,2009,2591,7.8
12,5,8,The Playbook,2009,5539,9.4
6,5,9,Slapsgiving 2: Revenge of the Slap,2009,2673,8.0
6,5,10,The Window,2009,2600,8.1
5,5,11,Last Cigarette Ever,2009,2735,7.8
8,5,12,Girls vs. Suits,2010,4368,9.1
7,5,13,Jenkins,2010,2875,8.6
5,5,14,Perfect Week,2010,3104,8.9
6,5,15,Rabbit or Duck,2010,2569,8.0
7,5,16,Hooked,2010,2514,7.8
6,5,17,Of Course,2010,2807,8.3
9,5,18,Say Cheese,2010,2580,8.2
7,5,19,Zoo or False,2010,2514,7.6
7,5,20,Home Wreckers,2010,2505,7.9
6,5,21,Twin Beds,2010,2449,7.8
6,5,22,Robots vs. Wrestlers,2010,2595,8.2
5,5,23,The Wedding Bride,2010,2722,8.1
8,5,24,Doppelgangers,2010,2655,8.5
8,6,1,Big Days,2010,2749,8.2
9,6,2,Cleaning House,2010,2772,8.3
7,6,3,Unfinished,2010,2476,7.8
8,6,4,Subway Wars,2010,2853,8.6
7,6,5,Architect of Destruction,2010,2422,7.8
7,6,6,Baby Talk,2010,2433,7.7
6,6,7,Canning Randy,2010,2396,7.7
8,6,8,Natural History,2010,2513,8.1
11,6,9,Glitter,2010,2945,8.5
12,6,10,Blitzgiving,2010,3967,9.1
8,6,11,The Mermaid Theory,2010,2543,8.0
9,6,12,False Positive,2010,2503,8.2
13,6,13,Bad News,2011,3618,8.9
9,6,14,Last Words,2011,2986,8.6
8,6,15,Oh Honey,2011,3336,8.8
5,6,16,Desperation Day,2011,2445,8.1
5,6,17,Garbage Island,2011,2319,7.7
5,6,18,A Change of Heart,2011,2538,8.3
4,6,19,Legendaddy,2011,2679,8.3
4,6,20,The Exploding Meatball Sub,2011,2341,7.7
5,6,21,Hopeless,2011,2346,7.9
4,6,22,The Perfect Cocktail,2011,2357,7.9
5,6,23,Landmarks,2011,2297,7.8
6,6,24,Challenge Accepted,2011,2697,8.5
8,7,1,The Best Man,2011,3400,8.6
5,7,2,The Naked Truth,2011,2700,8.1
7,7,3,Ducky Tie,2011,3433,8.9
6,7,4,The Stinson Missile Crisis,2011,2559,8.1
6,7,5,Field Trip,2011,2424,7.5
6,7,6,Mystery vs. History,2011,2532,7.8
6,7,7,Noretta,2011,2528,7.7
6,7,8,The Slutty Pumpkin Returns,2011,2603,7.4
6,7,9,Disaster Averted,2011,2711,8.3
7,7,10,Tick Tick Tick,2011,3852,9.0
7,7,11,The Rebound Girl,2011,2577,8.0
8,7,12,Symphony of Illumination,2011,3469,8.8
6,7,13,Tailgate,2012,2572,7.8
6,7,14,46 Minutes,2012,2639,7.7
8,7,15,The Burning Beekeeper,2012,2798,7.3
7,7,16,The Drunk Train,2012,2637,8.1
8,7,17,No Pressure,2012,2780,8.4
8,7,18,Karma,2012,2448,8.0
9,7,19,The Broath,2012,2871,8.6
5,7,20,Trilogy Time,2012,2755,8.6
7,7,21,Now We're Even,2012,2366,8.0
5,7,22,Good Crazy,2012,2293,7.8
5,7,23,The Magician's Code: Part 1,2012,2776,8.5
4,7,24,The Magician's Code: Part 2,2012,3248,8.9
8,8,1,Farhampton,2012,4239,8.6
7,8,2,The Pre-Nup,2012,2793,7.4
5,8,3,Nannies,2012,2570,7.3
7,8,4,Who Wants to Be a Godparent,2012,2673,7.5
6,8,5,The Autumn of Breakups,2012,2646,7.5
5,8,6,Splitsville,2012,2437,7.6
5,8,7,The Stamp Tramp,2012,2367,7.4
6,8,8,Twelve Horny Women,2012,2436,7.5
7,8,9,Lobster Crawl,2012,2408,7.5
8,8,10,The Over-Correction,2012,2498,8.1
8,8,11,The Final Page: Part One,2012,3053,8.6
13,8,12,The Final Page: Part Two,2012,5660,9.4
7,8,13,Band or DJ?,2013,2572,7.9
7,8,14,Ring Up!,2013,2566,7.9
7,8,15,P.S. I Love You,2013,2967,8.2
5,8,16,Bad Crazy,2013,2377,7.6
7,8,17,The Ashtray,2013,2415,7.8
8,8,18,Weekend at Barney's,2013,2618,8.1
8,8,19,The Fortress,2013,2397,8.0
12,8,20,The Time Travelers,2013,3811,8.4
6,8,21,Romeward Bound,2013,2333,7.4
10,8,22,The Bro Mitzvah,2013,3125,8.7
7,8,23,Something Old,2013,2526,7.6
7,8,24,Something New,2013,3569,8.8
4,9,1,The Locket,2013,3314,7.8
3,9,2,Coming Back,2013,2900,7.7
3,9,3,Last Time in New York,2013,2757,7.6
4,9,4,The Broken Code,2013,2664,7.3
4,9,5,The Poker Game,2013,2649,7.2
3,9,6,Knight Vision,2013,2626,7.5
4,9,7,No Questions Asked,2013,2665,7.4
4,9,8,The Lighthouse,2013,2684,7.3
3,9,9,Platonish,2013,3080,8.3
5,9,10,Mom and Dad,2013,2798,6.7
4,9,11,Bedtime Stories,2013,4637,5.8
4,9,12,The Rehearsal Dinner,2013,2925,7.8
4,9,13,Bass Player Wanted,2013,2983,8.2
5,9,14,Slapsgiving 3: Slappointment in Slapmarra,2014,4705,5.9
5,9,15,Unpause,2014,3112,8.4
14,9,16,How Your Mother Met Me,2014,8482,9.5
5,9,17,Sunrise,2014,3265,8.2
3,9,18,Rally,2014,2691,8.0
2,9,19,Vesuvius,2014,2734,7.7
5,9,20,Daisy,2014,3036,8.5
4,9,21,Gary Blauman,2014,3129,8.3
5,9,22,The End of the Aisle,2014,4032,8.9
11,9,23,Last Forever: Part One,2014,8915,6.7
23,9,24,Last Forever: Part Two,2014,16387,5.5
