,Show,Season,Rating
0,Friends,1,8.3
1,Friends,1,8.0
2,Friends,1,8.2
3,Friends,1,8.1
4,Friends,1,8.5
5,Friends,1,8.1
6,Friends,1,9.0
7,Friends,1,8.1
8,Friends,1,8.2
9,Friends,1,8.1
10,Friends,1,8.2
11,Friends,1,8.2
12,Friends,1,8.7
13,Friends,1,8.3
14,Friends,1,8.2
15,Friends,1,8.1
16,Friends,1,8.5
17,Friends,1,8.8
18,Friends,1,8.1
19,Friends,1,7.9
20,Friends,1,7.9
21,Friends,1,8.3
22,Friends,1,8.7
23,Friends,1,8.9
24,Friends,2,8.5
25,Friends,2,8.2
26,Friends,2,8.4
27,Friends,2,8.0
28,Friends,2,8.3
29,Friends,2,8.6
30,Friends,2,9.0
31,Friends,2,8.5
32,Friends,2,8.0
33,Friends,2,8.0
34,Friends,2,8.1
35,Friends,2,8.6
36,Friends,2,8.8
37,Friends,2,9.4
38,Friends,2,8.9
39,Friends,2,8.6
40,Friends,2,8.3
41,Friends,2,8.5
42,Friends,2,8.5
43,Friends,2,8.2
44,Friends,2,8.2
45,Friends,2,9.0
46,Friends,2,8.1
47,Friends,2,8.2
48,Friends,3,8.4
49,Friends,3,9.0
50,Friends,3,8.1
51,Friends,3,8.1
52,Friends,3,8.1
53,Friends,3,9.1
54,Friends,3,8.3
55,Friends,3,8.4
56,Friends,3,9.0
57,Friends,3,8.1
58,Friends,3,8.6
59,Friends,3,8.2
60,Friends,3,8.2
61,Friends,3,7.8
62,Friends,3,8.5
63,Friends,3,9.1
64,Friends,3,8.3
65,Friends,3,8.4
66,Friends,3,8.2
67,Friends,3,8.1
68,Friends,3,8.7
69,Friends,3,8.2
70,Friends,3,8.1
71,Friends,3,8.1
72,Friends,3,8.8
73,Friends,4,9.1
74,Friends,4,8.1
75,Friends,4,8.5
76,Friends,4,8.2
77,Friends,4,8.4
78,Friends,4,8.5
79,Friends,4,8.7
80,Friends,4,9.1
81,Friends,4,7.9
82,Friends,4,8.0
83,Friends,4,8.5
84,Friends,4,9.5
85,Friends,4,8.2
86,Friends,4,8.2
87,Friends,4,8.5
88,Friends,4,8.2
89,Friends,4,8.6
90,Friends,4,8.3
91,Friends,4,8.7
92,Friends,4,8.5
93,Friends,4,7.2
94,Friends,4,8.5
95,Friends,4,8.7
96,Friends,4,9.2
97,Friends,5,8.9
98,Friends,5,9.0
99,Friends,5,8.8
100,Friends,5,8.3
101,Friends,5,8.7
102,Friends,5,8.0
103,Friends,5,8.4
104,Friends,5,9.2
105,Friends,5,9.1
106,Friends,5,8.2
107,Friends,5,9.1
108,Friends,5,8.3
109,Friends,5,8.1
110,Friends,5,9.7
111,Friends,5,8.5
112,Friends,5,8.6
113,Friends,5,8.5
114,Friends,5,8.0
115,Friends,5,8.7
116,Friends,5,8.3
117,Friends,5,8.5
118,Friends,5,8.3
119,Friends,5,8.8
120,Friends,5,9.1
