Trend, Season, Episode, Title, Year, Total Votes, Average Rating
4,1,1,Pilot,2009,2961,8.2
3,1,2,The Bicycle Thief,2009,2427,8.2
3,1,3,Come Fly with Me,2009,2137,8.0
-,1,4,The Incident,2009,2194,8.2
1,1,5,Coal Digger,2009,2108,8.3
2,1,6,Run for Your Wife,2009,2006,7.8
1,1,7,En Garde,2009,1959,8.0
2,1,8,Great Expectations,2009,2048,8.0
2,1,9,Fizbo,2009,2283,8.7
2,1,10,Undeck the Halls,2009,1871,8.1
2,1,11,Up All Night,2010,1853,8.0
2,1,12,Not in My House,2010,1803,7.9
2,1,13,Fifteen Percent,2010,1852,8.1
1,1,14,Moon Landing,2010,1843,8.1
2,1,15,My Funky Valentine,2010,2031,8.7
1,1,16,Fears,2010,1742,8.0
1,1,17,Truth Be Told,2010,1763,7.9
1,1,18,Starry Night,2010,1743,8.1
1,1,19,Game Changer,2010,1715,7.9
1,1,20,Benched,2010,1702,7.7
-,1,21,Travels with Scout,2010,1699,7.8
1,1,22,Airport 2010,2010,1793,8.2
1,1,23,Hawaii,2010,1873,8.5
2,1,24,Family Portrait,2010,1931,8.6
2,2,1,The Old Wagon,2010,1747,8.0
3,2,2,The Kiss,2010,1730,8.1
2,2,3,Earthquake,2010,1678,7.8
3,2,4,Strangers on a Treadmill,2010,1639,8.0
5,2,5,Unplugged,2010,1691,8.2
5,2,6,Halloween,2010,1849,8.5
5,2,7,Chirp,2010,1612,7.7
5,2,8,Manny Get Your Gun,2010,1790,8.4
6,2,9,Mother Tucker,2010,1556,7.6
3,2,10,Dance Dance Revelation,2010,1561,7.5
3,2,11,Slow Down Your Neighbors,2011,1723,8.2
4,2,12,Our Children Ourselves,2011,1587,7.8
5,2,13,Caught in the Act,2011,2354,9.0
3,2,14,Bixby's Back,2011,1568,8.0
3,2,15,Princess Party,2011,1574,7.5
5,2,16,Regrets Only,2011,1561,8.0
6,2,17,Two Monkeys and a Panda,2011,1534,7.8
7,2,18,Boys' Night,2011,1614,8.3
5,2,19,The Musical Man,2011,1651,8.2
4,2,20,Someone to Watch Over Lily,2011,1519,8.0
5,2,21,Mother's Day,2011,1565,8.1
6,2,22,Good Cop Bad Dog,2011,1586,8.2
5,2,23,See You Next Fall,2011,1562,8.2
3,2,24,The One That Got Away,2011,1527,8.0
3,3,1,Dude Ranch,2011,1720,7.9
3,3,2,When Good Kids Go Bad,2011,1608,8.1
4,3,3,Phil on Wire,2011,1609,8.1
3,3,4,Door to Door,2011,1529,7.9
3,3,5,Hit and Run,2011,1502,7.8
-,3,6,Go Bullfrogs!,2011,1498,7.7
1,3,7,Treehouse,2011,1616,8.2
2,3,8,After the Fire,2011,1462,7.8
2,3,9,Punkin Chunkin,2011,1500,7.9
1,3,10,Express Christmas,2011,1557,8.1
2,3,11,Lifetime Supply,2012,1501,7.8
2,3,12,Egg Drop,2012,1472,7.7
3,3,13,Little Bo Bleep,2012,1689,8.5
2,3,14,Me? Jealous?,2012,1487,8.0
2,3,15,Aunt Mommy,2012,1468,8.1
1,3,16,Virgin Territory,2012,1487,7.8
2,3,17,Leap Day,2012,1512,8.0
2,3,18,Send Out the Clowns,2012,1468,7.5
2,3,19,Election Day,2012,1452,7.8
3,3,20,The Last Walt,2012,1405,7.6
2,3,21,Planes Trains and Cars,2012,1394,7.7
2,3,22,Disneyland,2012,1505,8.2
3,3,23,Tableau Vivant,2012,1406,8.0
1,3,24,Baby on Board,2012,1628,8.6
1,4,1,Bringing Up Baby,2012,1737,8.3
-,4,2,Schooled,2012,1816,8.6
-,4,3,Snip,2012,1446,8.0
1,4,4,The Butler's Escape,2012,1393,7.6
1,4,5,Open House of Horrors,2012,1446,7.9
2,4,6,Yard Sale,2012,1401,7.8
2,4,7,Arrested,2012,1547,8.5
2,4,8,Mistery Date,2012,1502,8.2
1,4,9,When a Tree Falls,2012,1396,7.8
-,4,10,Diamond in the Rough,2012,1379,7.8
2,4,11,New Year's Eve,2013,1435,8.1
2,4,12,Party Crasher,2013,1568,8.4
