Trend, Season, Episode, Title, Year, Total Votes, Average Rating
5,1,1,The Gang Gets Racist,2005,3000,8.3
4,1,2,Charlie Wants an Abortion,2005,2677,8.4
4,1,3,Underage Drinking: A National Concern,2005,2649,8.4
5,1,4,Charlie Has Cancer,2005,2417,8.2
5,1,5,Gun Fever,2005,2299,8.1
3,1,6,The Gang Finds a Dead Guy,2005,2275,8.2
4,1,7,Charlie Got Molested,2005,2455,8.6
2,2,1,Charlie Gets Crippled,2006,2362,8.6
5,2,2,The Gang Goes Jihad,2006,2344,8.7
3,2,3,Dennis and Dee Go on Welfare,2006,2880,9.1
7,2,4,Mac Bangs Dennis' Mom,2006,2989,9.2
4,2,5,Hundred Dollar Baby,2006,2489,8.8
4,2,6,The Gang Gives Back,2006,2101,8.5
4,2,7,The Gang Exploits a Miracle,2006,1980,8.1
4,2,8,The Gang Runs for Office,2006,1937,8.1
3,2,9,Charlie Goes America All Over Everybody's Ass,2006,2025,8.4
4,2,10,Dennis and Dee Get a New Dad,2006,1994,8.6
5,3,1,The Gang Finds a Dumpster Baby,2007,2176,8.7
4,3,2,The Gang Gets Invincible,2007,2252,8.8
3,3,3,Dennis and Dee's Mom Is Dead,2007,1906,8.4
3,3,4,The Gang Gets Held Hostage,2007,2373,8.9
4,3,5,The Aluminum Monster vs. Fatty Magoo,2007,1883,8.1
2,3,6,The Gang Solves the North Korea Situation,2007,1950,8.5
2,3,7,The Gang Sells Out,2007,1778,8.3
2,3,8,Frank Sets Sweet Dee on Fire,2007,1936,8.6
2,3,9,Sweet Dee's Dating a Retarded Person,2007,3076,9.3
4,3,10,Mac Is a Serial Killer,2007,2413,9.1
2,3,11,Dennis Looks Like a Registered Sex Offender,2007,1840,8.5
3,3,12,The Gang Gets Whacked: Part 1,2007,1725,8.3
2,3,13,The Gang Gets Whacked: Part 2,2007,1739,8.5
5,3,14,Bums: Making a Mess All Over the City,2007,1897,8.6
4,3,15,The Gang Dances Their Asses Off,2007,2350,9.0
2,4,1,Mac and Dennis: Manhunters,2008,1923,8.5
1,4,2,The Gang Solves the Gas Crisis,2008,2652,9.2
1,4,3,America's Next Top Paddy's Billboard Model Contest,2008,1787,8.5
2,4,4,Mac's Banging the Waitress,2008,1827,8.6
3,4,5,Mac & Charlie Die: Part 1,2008,2079,9.0
2,4,6,Mac & Charlie Die: Part 2,2008,1825,8.7
3,4,7,Who Pooped the Bed?,2008,2080,8.4
2,4,8,Paddy's Pub: The Worst Bar in Philadelphia,2008,1795,8.6
1,4,9,Dennis Reynolds: An Erotic Life,2008,1790,8.3
3,4,10,Sweet Dee Has a Heart Attack,2008,2136,8.9
2,4,11,The Gang Cracks the Liberty Bell,2008,1884,7.8
-,4,12,The Gang Gets Extreme: Home Makeover Edition,2008,1809,8.5
5,4,13,The Nightman Cometh,2008,5036,9.7
2,5,1,The Gang Exploits the Mortgage Crisis,2009,1754,8.4
3,5,2,The Gang Hits the Road,2009,2271,9.1
2,5,3,The Great Recession,2009,1607,8.1
