Trend, Season, Episode, Title, Year, Total Votes, Average Rating
19,1,1,Pilot,2005,5431,7.5
24,1,2,Diversity Day,2005,5306,8.3
13,1,3,Health Care,2005,4445,7.8
13,1,4,The Alliance,2005,4328,8.0
17,1,5,Basketball,2005,4751,8.4
12,1,6,Hot Girl,2005,4248,7.7
22,2,1,The Dundies,2005,4776,8.7
16,2,2,Sexual Harassment,2005,4058,8.2
18,2,3,Office Olympics,2005,4045,8.4
13,2,4,The Fire,2005,3988,8.4
11,2,5,Halloween,2005,3745,8.1
13,2,6,The Fight,2005,3752,8.1
14,2,7,The Client,2005,3922,8.6
11,2,8,Performance Review,2005,3569,8.2
10,2,9,E-Mail Surveillance,2005,3677,8.4
16,2,10,Christmas Party,2005,4054,8.9
13,2,11,Booze Cruise,2006,3908,8.6
18,2,12,The Injury,2006,4753,9.1
13,2,13,The Secret,2006,3480,8.3
13,2,14,The Carpet,2006,3441,7.8
12,2,15,Boys and Girls,2006,3414,8.1
15,2,16,Valentine's Day,2006,3426,8.3
18,2,17,Dwight's Speech,2006,3633,8.5
20,2,18,Take Your Daughter to Work Day,2006,3546,8.3
16,2,19,Michael's Birthday,2006,3415,8.1
16,2,20,Drug Testing,2006,3499,8.4
14,2,21,Conflict Resolution,2006,3586,8.7
22,2,22,Casino Night,2006,5221,9.4
22,3,1,Gay Witch Hunt,2006,4557,9.0
16,3,2,The Convention,2006,3332,8.2
17,3,3,The Coup,2006,3495,8.5
14,3,4,Grief Counseling,2006,3353,8.0
14,3,5,Initiation,2006,3270,8.1
16,3,6,Diwali,2006,3414,7.9
16,3,7,Branch Closing,2006,3341,8.6
13,3,8,The Merger,2006,3491,8.7
12,3,9,The Convict,2006,3487,8.3
11,3,10,A Benihana Christmas,2006,3694,8.8
11,3,11,Back from Vacation,2007,3322,8.6
16,3,12,Traveling Salesmen,2007,3372,8.6
18,3,13,The Return,2007,3549,8.8
16,3,14,Ben Franklin,2007,3278,8.1
16,3,15,Phyllis' Wedding,2007,3303,8.2
17,3,16,Business School,2007,3829,8.9
12,3,17,Cocktails,2007,3285,8.5
15,3,18,The Negotiation,2007,3739,9.0
15,3,19,Safety Training,2007,3495,8.8
10,3,20,Product Recall,2007,3452,8.7
12,3,21,Women's Appreciation,2007,3493,8.8
18,3,22,Beach Games,2007,4014,9.2
21,3,23,The Job,2007,4279,9.3
13,4,1,Fun Run,2007,3992,8.8
10,4,2,Dunder Mifflin Infinity,2007,3244,8.3
10,4,3,Launch Party,2007,3138,8.4
12,4,4,Money,2007,3383,8.7
11,4,5,Local Ad,2007,3458,8.8
14,4,6,Branch Wars,2007,3200,8.5
16,4,7,Survivor Man,2007,3072,8.2
15,4,8,The Deposition,2007,3238,8.7
35,4,9,Dinner Party,2008,6220,9.5
13,4,10,Chair Model,2008,3035,8.0
12,4,11,Night Out,2008,3158,8.6
12,4,12,Did I Stutter?,2008,3040,8.3
14,4,13,Job Fair,2008,2894,7.8
21,4,14,Goodbye Toby,2008,4351,9.3
17,5,1,Weight Loss,2008,3580,8.8
11,5,2,Business Ethics,2008,2912,8.3
12,5,3,Baby Shower,2008,2890,8.0
11,5,4,Crime Aid,2008,2770,8.1
13,5,5,Employee Transfer,2008,2866,8.0
14,5,6,Customer Survey,2008,2994,8.5
13,5,7,Business Trip,2008,2775,8.2
13,5,8,Frame Toby,2008,3086,8.6
13,5,9,The Surplus,2008,3072,8.8
10,5,10,Moroccan Christmas,2008,2875,8.4
12,5,11,The Duel,2009,2998,8.7
12,5,12,Prince Family Paper,2009,2879,8.0
44,5,13,Stress Relief,2009,9053,9.7
12,5,14,Lecture Circuit: Part 1,2009,2732,8.2
13,5,15,Lecture Circuit: Part 2,2009,2694,8.2
11,5,16,Blood Drive,2009,2716,8.0
10,5,17,Golden Ticket,2009,2950,8.7
11,5,18,New Boss,2009,2765,8.3
11,5,19,Two Weeks,2009,2750,8.4
12,5,20,Dream Team,2009,2737,8.3
12,5,21,Michael Scott Paper Company,2009,3001,8.7
14,5,22,Heavy Competition,2009,2846,8.7
22,5,23,Broke,2009,3795,9.3
14,5,24,Casual Friday,2009,2720,8.3
17,5,25,Cafe Disco,2009,3142,8.8
17,5,28,Company Picnic,2009,3272,9.0
14,6,1,Gossip,2009,3182,8.8
10,6,2,The Meeting,2009,2593,8.1
10,6,3,The Promotion,2009,2588,8.0
17,6,4,Niagara: Part 1,2009,4999,9.4
19,6,5,Niagara: Part 2,2009,3608,9.4
11,6,6,Mafia,2009,2731,7.6
13,6,7,The Lover,2009,2877,8.6
11,6,8,Koi Pond,2009,2611,8.2
12,6,9,Double Date,2009,2564,8.1
16,6,10,Murder,2009,3086,8.7
13,6,11,Shareholder Meeting,2009,2595,8.2
16,6,12,Scott's Tots,2009,2970,8.3
12,6,13,Secret Santa,2009,2732,8.5
18,6,14,The Banker,2010,3367,6.8
13,6,15,Sabre,2010,2493,7.6
12,6,16,Manager and Salesman,2010,2464,8.1
14,6,17,The Delivery: Part 1,2010,2609,8.4
15,6,18,The Delivery: Part 2,2010,2626,8.5
11,6,19,St. Patrick's Day,2010,2430,7.7
12,6,20,New Leads,2010,2396,7.7
14,6,21,Happy Hour,2010,2786,8.6
13,6,22,Secretary's Day,2010,2403,7.8
11,6,23,Body Language,2010,2434,7.9
11,6,24,The Cover-Up,2010,2440,8.1
10,6,25,The Chump,2010,2347,7.7
12,6,26,Whistleblower,2010,2431,8.0
16,7,1,Nepotism,2010,2800,8.4
13,7,2,Counseling,2010,2524,8.2
17,7,3,Andy's Play,2010,2696,8.2
16,7,4,Sex Ed,2010,2452,7.8
12,7,5,The Sting,2010,2395,7.7
13,7,6,Costume Contest,2010,2503,8.2
14,7,7,Christening,2010,2491,7.4
13,7,8,Viewing Party,2010,2443,7.8
9,7,9,WUPHF.com,2010,2371,7.7
16,7,10,China,2010,2511,8.2
18,7,11,Classy Christmas,2010,3203,9.0
11,7,12,Ultimatum,2011,2544,8.3
8,7,13,The Seminar,2011,2406,7.6
12,7,14,The Search,2011,2656,8.5
8,7,15,PDA,2011,2605,8.4
18,7,16,Threat Level Midnight,2011,5433,9.4
9,7,17,Todd Packer,2011,2373,7.4
27,7,18,Garage Sale,2011,4223,9.4
13,7,19,Training Day,2011,2457,7.8
15,7,20,Michael's Last Dundies,2011,3424,9.0
55,7,21,Goodbye Michael,2011,9095,9.8
5,7,22,The Inner Circle,2011,2434,7.6
8,7,23,Dwight K. Schrute (Acting) Manager,2011,2691,8.7
8,7,24,Search Committee,2011,2878,8.8
7,8,1,The List,2011,2605,8.1
7,8,2,The Incentive,2011,2439,8.1
6,8,3,Lotto,2011,2331,7.2
7,8,4,Garden Party,2011,2532,8.1
5,8,5,Spooked,2011,2266,7.5
7,8,6,Doomsday,2011,2185,7.6
7,8,7,Pam's Replacement,2011,2332,7.7
6,8,8,Gettysburg,2011,2346,6.8
9,8,9,Mrs. California,2011,2308,7.6
8,8,10,Christmas Wishes,2011,2259,7.9
7,8,11,Trivia,2012,2219,7.9
10,8,12,Pool Party,2012,2398,8.0
7,8,13,Jury Duty,2012,2170,7.4
7,8,14,Special Project,2012,2118,7.7
7,8,15,Tallahassee,2012,2235,7.8
9,8,16,After Hours,2012,2311,8.1
9,8,17,Test the Store,2012,2190,7.8
9,8,18,Last Day in Florida,2012,2129,7.8
11,8,19,Get the Girl,2012,2487,6.5
7,8,20,Welcome Party,2012,2202,7.0
6,8,21,Angry Andy,2012,2366,7.0
4,8,22,Fundraiser,2012,2130,7.0
4,8,23,Turf War,2012,2055,7.6
7,8,24,Free Family Portrait Studio,2012,2152,7.7
11,9,1,New Guys,2012,2320,7.6
7,9,2,Roy's Wedding,2012,2205,7.1
7,9,3,Andy's Ancestry,2012,2182,7.3
10,9,4,Work Bus,2012,2324,7.8
7,9,5,Here Comes Treble,2012,2263,7.0
5,9,6,The Boat,2012,2201,7.7
6,9,7,The Whale,2012,2100,7.6
11,9,8,The Target,2012,2175,7.8
10,9,9,Dwight Christmas,2012,2487,8.4
9,9,10,Lice,2013,2186,7.6
8,9,11,Suit Warehouse,2013,2146,7.8
9,9,12,Customer Loyalty,2013,2219,7.9
10,9,13,Junior Salesman,2013,2096,7.5
8,9,14,Vandalism,2013,2089,7.4
7,9,15,Couples Discount,2013,2121,7.3
9,9,16,Moving On,2013,2333,8.1
7,9,17,The Farm,2013,2439,7.5
6,9,18,Promos,2013,2153,8.0
7,9,19,Stairmageddon,2013,2226,8.0
8,9,20,Paper Airplane,2013,2263,8.0
12,9,21,Livin' the Dream,2013,3227,9.0
16,9,22,A.A.R.M.,2013,4435,9.5
46,9,23,Finale,2013,11625,9.8
