Rank,Show,Year,Genre
1,CSI: Crime Scene Investigation,2004,Drama
2,American Idol — Tuesday,2004,Reality
3,American Idol — Wednesday,2004,Reality
4,Desperate Housewives,2004,Drama
5,CSI: Miami,2004,Drama
6,Without a Trace,2004,Drama
7,Survivor,2004,Reality
8,Grey's Anatomy,2004,Drama
9,Everybody Loves Raymond,2004,Sitcom
10,Monday Night Football,2004,Sports
11,Two and a Half Men,2004,Sitcom
12,ER,2004,Drama
13,Lost,2004,Drama
14,Cold Case,2004,Drama
14,The Apprentice,2004,Reality
16,Law & Order: Special Victims Unit,2004,Drama
16,60 Minutes,2004,News
18,Extreme Makeover: Home Edition,2004,Reality
18,Medium,2004,Drama
20,Law & Order,2004,Drama
20,CSI: NY,2004,Drama
22,NCIS,2004,Drama
23,House,2004,Drama
24,Boston Legal,2004,Drama
25,Law & Order: Criminal Intent,2004,Drama
26,Crossing Jordan,2004,Drama
27,CBS Sunday Movie,2004,Other
27,The Amazing Race,2004,Reality
29,Judging Amy,2004,Drama
29,The West Wing,2004,Drama
1,American Idol — Tuesday,2005,Reality
2,American Idol — Wednesday,2005,Reality
3,CSI: Crime Scene Investigation,2005,Drama
4,Desperate Housewives,2005,Drama
5,Grey's Anatomy,2005,Drama
6,Without a Trace,2005,Drama
7,Dancing with the Stars,2005,Reality
8,CSI: Miami,2005,Drama
9,Monday Night Football,2005,Sports
9,House,2005,Drama
11,Survivor,2005,Reality
12,NCIS,2005,Drama
13,Two and a Half Men,2005,Sitcom
13,The Unit,2005,Drama
15,Dancing with the Stars — Results,2005,Reality
15,Deal or No Deal — Monday,2005,Reality
17,Cold Case,2005,Drama
18,Lost,2005,Drama
18,CSI: NY,2005,Drama
18,Law & Order: Special Victims Unit,2005,Drama
21,60 Minutes,2005,News
21,Deal or No Deal — Wednesday,2005,Reality
23,Extreme Makeover: Home Edition,2005,Reality
24,Commander in Chief,2005,Drama
25,The New Adventures of Old Christine,2005,Sitcom
25,Unan1mous,2005,Drama
27,Criminal Minds,2005,Drama
28,24,2005,Drama
